AP,REG,type,an_total_value_value,an_total_low_value,an_total_high_value,excessrate_total_value_value,excessrate_total_low_value,excessrate_total_high_value,fraction_total_value_value,fraction_total_low_value,fraction_total_high_value
pm25v0,RO114,Attribute,81.47931874,64.08474967,99.91424909,165.1636205,129.9028139,202.5339182,1.480952245,1.16479309,1.816020052
pm25v0,RO113,Attribute,139.415317,117.9553515,161.1797896,200.6208839,169.7398758,231.9399944,1.593620911,1.348320285,1.842401208
pm25v0,RO112,Attribute,49.74647471,39.35883436,59.43574624,165.3112173,130.791341,197.5107638,1.560141445,1.234365157,1.864015874
pm25v0,RO111,Attribute,205.5794731,178.7799606,230.9036333,351.9703056,306.0861606,395.3287389,2.705729202,2.353004339,3.039037082
pm25v0,PT30,Attribute,33.75735303,24.85004846,42.79482249,130.3022206,95.92052214,165.1862095,1.285243349,0.946111092,1.629334778
pm25v0,PT20,Attribute,52.23678338,31.07263325,73.10370948,213.7226307,127.1305082,299.0996105,2.20269129,1.310237794,3.082632374
pm25v0,PT18,Attribute,182.4247314,149.0313376,214.1144216,242.9187931,198.4511402,285.1180096,1.752790074,1.431936185,2.057274429
pm25v0,PT17,Attribute,369.5294761,286.7666392,456.1097985,132.3728216,102.7258941,163.3870022,1.398068337,1.084951606,1.725624006
pm25v0,PT16,Attribute,320.7116465,256.5311441,380.6039539,138.5857699,110.8517757,164.4668844,1.170889115,0.936574065,1.389547527
pm25v0,PT15,Attribute,116.6115297,95.42503227,138.3456619,264.9445252,216.8085768,314.3245465,2.403679435,1.966973931,2.851670427
pm25v0,PT11,Attribute,329.7440759,253.6875197,403.5233457,89.77303176,69.06643939,109.8597117,1.009221298,0.776445468,1.235024831
pm25v0,PL926,Attribute,54.18615822,44.37025732,64.88362359,209.21695,171.3169932,250.5206979,1.863233959,1.525706594,2.231074512
pm25v0,PL925,Attribute,80.55757701,65.28592716,96.67389304,192.3150485,155.8570419,230.7895302,1.790770388,1.451285614,2.149032197
pm25v0,PL924,Attribute,68.52560826,54.77384536,82.74406706,178.7264097,142.8594655,215.8105838,1.762237991,1.408592035,2.127885103
pm25v0,PL923,Attribute,43.47452589,33.16756043,54.2541891,132.3879575,101.0013286,165.21405,1.251091204,0.954484434,1.561299186
pm25v0,PL922,Attribute,63.91782347,51.39436384,76.74609727,187.4993911,150.7624951,225.1304542,1.684404258,1.354378363,2.022462557
pm25v0,PL921,Attribute,133.5956165,110.6252589,157.6204493,218.6230488,181.033107,257.9385976,2.025317891,1.677083134,2.38953987
pm25v0,PL913,Attribute,75.69371152,50.63379505,104.422598,121.5209525,81.28906115,167.6430498,1.42472719,0.953052482,1.965446944
pm25v0,PL912,Attribute,102.149823,79.00789661,128.516486,163.8122044,126.7007931,206.0949034,1.875663047,1.450740215,2.359792521
pm25v0,PL911,Attribute,120.7474875,0,273.5243534,70.44629446,0,159.5784228,0.664951317,0,1.506277466
pm25v0,PL843,Attribute,33.33278069,25.26656678,41.57800625,125.521408,95.14641296,156.5705187,1.248573927,0.946432089,1.557420402
pm25v0,PL842,Attribute,77.02215494,62.49467665,91.14522796,197.7615364,160.4608385,234.0239065,1.673985454,1.358249202,1.980931887
pm25v0,PL841,Attribute,66.05880123,52.19853378,79.72026953,131.2196156,103.6874997,158.3568326,1.39097596,1.099131588,1.67863116
